route_short_name,stop_sequence,stop_name,stop_lat,stop_lon
R6,4,Europa | Fira,41.35655892,2.124199344
R6,4,Capellades,41.52153533,1.695130725
R6,4,Can Parellada,41.50222357,1.830813063
R6,4,La Beguda,41.5017639,1.838788972
R6,5,Gornal,41.35488589,2.117431558
R6,5,Vallbona d'Anoia,41.52025979,1.709010719
R6,5,Masquefa,41.502884,1.812625072
R6,5,Can Parellada,41.50222357,1.830813063
R6,6,Sant Josep,41.36070098,2.10991665
R6,6,Piera,41.52591339,1.75450443
R6,6,Masquefa,41.502884,1.812625072
R6,7,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R6,7,Masquefa,41.502884,1.812625072
R6,7,Vallbona d'Anoia,41.52025979,1.709010719
R6,7,Piera,41.52591339,1.75450443
R6,8,Almeda,41.35306747,2.085251402
R6,8,Can Parellada,41.50222357,1.830813063
R6,8,Capellades,41.52153533,1.695130725
R6,8,Vallbona d'Anoia,41.52025979,1.709010719
R6,9,Cornellà Riera,41.35147828,2.071263627
R6,9,La Beguda,41.5017639,1.838788972
R6,9,La Pobla de Claramunt,41.55461094,1.677906247
R6,9,Capellades,41.52153533,1.695130725
R6,10,Sant Boi,41.34856143,2.042855988
R6,10,Sant Esteve Sesrovires,41.49767605,1.8724438
R6,10,Vilanova del Camí,41.57331472,1.642009216
R6,10,La Pobla de Claramunt,41.55461094,1.677906247
R6,11,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
R6,11,Martorell Enllaç,41.48396936,1.918677519
R6,11,Igualada,41.57802651,1.629951133
R6,11,Vilanova del Camí,41.57331472,1.642009216
R6,12,Martorell Central,41.4792845,1.925294975
R6,12,Igualada,41.57802651,1.629951133
R6,13,Santa Coloma de Cervelló,41.37064766,2.023520241
R6,14,Sant Vicenç dels Horts,41.38810839,2.012398952
R6,14,El Palau,41.45588074,1.9622947
R6,15,Can Ros,41.39882061,2.005346458
R6,15,Sant Andreu de la Barca,41.44648001,1.973673502
R6,16,Quatre Camins,41.40629238,2.001715183
R6,16,Pallejà,41.42078685,1.995677605
R6,17,Pallejà,41.42078685,1.995677605
R6,17,Quatre Camins,41.40629238,2.001715183
R6,18,Sant Andreu de la Barca,41.44648001,1.973673502
R6,18,Can Ros,41.39882061,2.005346458
R6,19,El Palau,41.45588074,1.9622947
R6,19,Sant Vicenç dels Horts,41.38810839,2.012398952
R6,20,Santa Coloma de Cervelló,41.37064766,2.023520241
R6,21,Martorell Central,41.4792845,1.925294975
R6,22,Martorell Enllaç,41.48396936,1.918677519
R6,22,Molí Nou - Ciutat Cooperativa,41.35751473,2.035276936
R6,23,Sant Esteve Sesrovires,41.49767605,1.8724438
R6,23,Sant Boi,41.34856143,2.042855988
R6,24,La Beguda,41.5017639,1.838788972
R6,24,Cornellà Riera,41.35147828,2.071263627
R6,25,Can Parellada,41.50222357,1.830813063
R6,25,Almeda,41.35306747,2.085251402
R6,26,Masquefa,41.502884,1.812625072
R6,26,L'Hospitalet Av. Carrilet,41.35793378,2.102709519
R6,27,Piera,41.52591339,1.75450443
R6,27,Sant Josep,41.36070098,2.10991665
